Nr	Kommunenavn	Adm.senter	Fylke	Folketall	Areal
3911	Færder	Borgheim	Vestfold	27501	9995
4221	Valle	Valle	Agder	1205	126526
3907	Sandefjord	Sandefjord	Vestfold	66231	42226
4032	Fyresdal	Folkestadbyen	Telemark	1256	128002
3101	Halden	Halden	Østfold	31935	64248
4001	Porsgrunn	Porsgrunn	Telemark	37193	16444
4016	Drangedal	Prestestranda	Telemark	4086	106277
3909	Larvik	Larvik	Vestfold	48715	81288
3110	Hvaler	Skjærhalden	Østfold	4787	9011
1144	Kvitsøy	Ydstebøhavn	Rogaland	544	628
4030	Nissedal	Treungen	Telemark	1471	90517
1130	Strand	Jørpeland	Rogaland	13703	26179
4012	Bamble	Langesund	Telemark	14269	30438
1127	Randaberg	Randaberg	Rogaland	11742	2472
1103	Stavanger	Stavanger	Rogaland	149048	2623
1124	Sola	Solakrossen	Rogaland	28685	6904
4014	Kragerø	Kragerø	Telemark	10445	30547
1108	Sandnes	Sandnes	Rogaland	83702	10406
4211	Gjerstad	Gjerstad	Agder	2444	32213
4228	Sirdal	Tonstad	Agder	1873	155428
4220	Bygland	Bygland	Agder	1180	131174
1122	Gjesdal	Ålgård	Rogaland	12362	61798
4217	Åmli	Åmli	Agder	1802	113061
1120	Klepp	Kleppe	Rogaland	20900	11348
4212	Vegårshei	Myra	Agder	2268	35565
4224	Åseral	Kyrkjebygda	Agder	923	88751
1121	Time	Bryne	Rogaland	19910	18318
4201	Risør	Risør	Agder	6825	19297
1114	Bjerkreim	Vikeså	Rogaland	2892	65055
4213	Tvedestrand	Tvedestrand	Agder	6323	21504
1119	Hå	Varhaug	Rogaland	19827	258
4219	EvjeogHornnes	Evje	Agder	3967	58707
4214	Froland	Blakstad	Agder	6236	64454
1112	Lund	Moi	Rogaland	3226	40839
4203	Arendal	Arendal	Agder	46355	2702
1101	Eigersund	Egersund	Rogaland	15221	43249
4218	Iveland	Birketveit	Agder	1380	26163
4226	Hægebostad	Tingvatn	Agder	1776	46132
4216	Birkenes	Birkeland	Agder	5480	63736
4227	Kvinesdal	Liknes	Agder	6192	96321
1111	Sokndal	Hauge	Rogaland	3347	29498
4202	Grimstad	Grimstad	Agder	24969	30358
4207	Flekkefjord	Flekkefjord	Agder	9279	54409
4223	Vennesla	Vennesla	Agder	15452	38447
4215	Lillesand	Lillesand	Agder	11523	19031
4225	Lyngdal	Alleen	Agder	10835	64279
4204	Kristiansand	Kristiansand	Agder	116986	64462
4206	Farsund	Farsund	Agder	9876	26256
4205	Lindesnes	Mandal	Agder	23690	93356
